ID,Date,Day,Weather,Traffic,Commute_Mode,Duration,Distance,Speed,Occupancy,Temperature,Congestion_Level,Accidents,Transportation_Type,Public_Transport,Construction,Detours,Traffic_Lights,Train_Crossing,Departure_Time,Arrival_Time
1,2023-01-01,Sunday,Clear,Light,Car,40,20,30,Low,15,Medium,No,Private,Yes,No,No,Yes,8:00 AM,8:40 AM,
2,2023-01-02,Monday,Rainy,Moderate,Bus,60,15,15,High,10,High,Yes,Public,Yes,Yes,Yes,No,9:00 AM,10:00 AM,
3,2023-01-03,Tuesday,Sunny,Heavy,Metro,30,10,20,Medium,20,Low,No,Public,Yes,No,No,Yes,7:30 AM,8:00 AM,
4,2023-01-04,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
5,2023-01-05,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
6,2023-01-06,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
7,2023-01-07,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
8,2023-01-08,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
9,2023-01-09,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
10,2023-01-10,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
11,2023-01-11,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
12,2023-01-12,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
13,2023-01-13,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
14,2023-01-14,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
15,2023-01-15,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
16,2023-01-16,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
17,2023-01-17,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
18,2023-01-18,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
19,2023-01-19,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
20,2023-01-20,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
21,2023-01-21,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
22,2023-01-22,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
23,2023-01-23,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
24,2023-01-24,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
25,2023-01-25,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
26,2023-01-26,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
27,2023-01-27,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
28,2023-01-28,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
29,2023-01-29,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
30,2023-01-30,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
31,2023-01-31,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
32,2023-02-01,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
33,2023-02-02,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
34,2023-02-03,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
35,2023-02-04,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
36,2023-02-05,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
37,2023-02-06,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
38,2023-02-07,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
39,2023-02-08,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
40,2023-02-09,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
41,2023-02-10,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
42,2023-02-11,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
43,2023-02-12,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
44,2023-02-13,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
45,2023-02-14,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
46,2023-02-15,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
47,2023-02-16,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
48,2023-02-17,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
49,2023-02-18,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
50,2023-02-19,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
51,2023-02-20,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
52,2023-02-21,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
53,2023-02-22,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
54,2023-02-23,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
55,2023-02-24,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
56,2023-02-25,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
57,2023-02-26,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
58,2023-02-27,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
59,2023-02-28,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
60,2023-03-01,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
61,2023-03-02,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
62,2023-03-03,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
63,2023-03-04,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
64,2023-03-05,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
65,2023-03-06,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
66,2023-03-07,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
67,2023-03-08,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
68,2023-03-09,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
69,2023-03-10,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
70,2023-03-11,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
71,2023-03-12,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
72,2023-03-13,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
73,2023-03-14,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
74,2023-03-15,Wednesday,Clear,Light,Bike,15,5,,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
75,2023-03-16,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
76,2023-03-17,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
77,2023-03-18,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,,9:15 AM,9:50 AM,
78,2023-03-19,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
79,2023-03-20,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
80,2023-03-21,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
81,2023-03-22,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
82,2023-03-23,Thursday,Rainy,Moderate,Car,45,,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
83,2023-03-24,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
84,2023-03-25,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
85,2023-03-26,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
86,2023-03-27,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
87,2023-03-28,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
88,2023-03-29,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
89,2023-03-30,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
90,2023-03-31,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
91,2023-04-01,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
92,2023-04-02,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
93,2023-04-03,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
94,2023-04-04,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
95,2023-04-05,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
96,2023-04-06,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
97,2023-04-07,Friday,Snowy,Heavy,Bus,,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
98,2023-04-08,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
99,2023-04-09,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
