ID,Date,Day,Weather,Traffic,Commute_Mode,Duration,Distance,Speed,Occupancy,Temperature,Congestion_Level,Accidents,Transportation_Type,Public_Transport,Construction,Detours,Traffic_Lights,Train_Crossing,Departure_Time,Arrival_Time
100,2023-04-10,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
101,2023-04-11,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,,No,Yes,8:45 AM,9:10 AM,
102,2023-04-12,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
103,2023-04-13,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
104,2023-04-14,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
105,2023-04-15,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
106,2023-04-16,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
107,2023-04-17,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
108,2023-04-18,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
109,2023-04-19,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
110,2023-04-20,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
111,2023-04-21,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
112,2023-04-22,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
113,2023-04-23,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
114,2023-04-24,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
115,2023-04-25,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
116,2023-04-26,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
117,2023-04-27,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
118,2023-04-28,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
119,2023-04-29,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
120,2023-04-30,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
121,2023-05-01,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
122,2023-05-02,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
123,2023-05-03,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
124,2023-05-04,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
125,2023-05-05,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
126,2023-05-06,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
127,2023-05-07,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
128,2023-05-08,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
129,2023-05-09,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
130,2023-05-10,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
131,2023-05-11,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
132,2023-05-12,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
133,2023-05-13,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
134,2023-05-14,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
135,2023-05-15,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
136,2023-05-16,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
137,2023-05-17,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
138,2023-05-18,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
139,2023-05-19,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
140,2023-05-20,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
141,2023-05-21,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
142,2023-05-22,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
143,2023-05-23,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
144,2023-05-24,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,,Yes,No,8:45 AM,9:00 AM,
145,2023-05-25,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,,No,,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
146,2023-05-26,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
147,2023-05-27,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
148,2023-05-28,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
149,2023-05-29,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
150,2023-05-30,Tuesday,Sunny,Light,Metro,,,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
151,2023-05-31,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
152,2023-06-01,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
153,2023-06-02,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
154,2023-06-03,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
155,2023-06-04,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
156,2023-06-05,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
157,2023-06-06,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
158,2023-06-07,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,,8:45 AM,9:00 AM,
159,2023-06-08,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
160,2023-06-09,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
161,2023-06-10,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
162,2023-06-11,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
163,2023-06-12,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
164,2023-06-13,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
165,2023-06-14,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
166,2023-06-15,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
167,2023-06-16,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
168,2023-06-17,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
169,2023-06-18,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
170,2023-06-19,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
171,2023-06-20,Tuesday,Sunny,Light,Metro,,12,29,Medium,,Low,No,Public,Yes,Yes,,Yes,8:45 AM,9:10 AM,
172,2023-06-21,Wednesday,Clear,Light,Bike,15,5,20,Low,25,,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
173,2023-06-22,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
174,2023-06-23,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
175,2023-06-24,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
176,2023-06-25,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
177,2023-06-26,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
178,2023-06-27,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
179,2023-06-28,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
180,2023-06-29,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
181,2023-06-30,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
182,2023-07-01,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
183,2023-07-02,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
184,2023-07-03,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
185,2023-07-04,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
186,2023-07-05,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
187,2023-07-06,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
188,2023-07-07,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
189,2023-07-08,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
190,2023-07-09,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
191,2023-07-10,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
192,2023-07-11,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
193,2023-07-12,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
194,2023-07-13,Thursday,Rainy,Moderate,Car,45,25,33,Medium,18,Medium,No,Private,Yes,No,Yes,Yes,7:45 AM,8:30 AM,
195,2023-07-14,Friday,Snowy,Heavy,Bus,60,15,15,High,5,High,Yes,Public,Yes,Yes,No,Yes,8:30 AM,9:30 AM,
196,2023-07-15,Saturday,Foggy,Moderate,Train,35,30,52,Medium,12,Low,No,Public,Yes,Yes,Yes,No,9:15 AM,9:50 AM,
197,2023-07-16,Sunday,Clear,Light,Bike,20,8,24,Low,22,Low,No,Private,No,No,No,Yes,7:30 AM,7:50 AM,
198,2023-07-17,Monday,Rainy,Heavy,Car,55,28,30,Medium,17,Medium,No,Private,Yes,No,Yes,Yes,8:15 AM,9:10 AM,
199,2023-07-18,Tuesday,Sunny,Light,Metro,25,12,29,Medium,18,Low,No,Public,Yes,Yes,No,Yes,8:45 AM,9:10 AM,
200,2023-07-19,Wednesday,Clear,Light,Bike,15,5,20,Low,25,Low,No,Private,No,No,Yes,No,8:45 AM,9:00 AM,
